chapter,episodeNumber,episodeTitle,educationTheme,questionText,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation
第1章,1,渇きの村と甘い誘い,優良誤認表示・誇大広告への警戒,商品・サービスの説明が景品表示法上「優良誤認」と判断される本質的な理由はどれか。,表現が派手だから,売上が大きいから,相手が事実と異なる認識をしてしまうから,クレームが発生したから,C,"行商人は「無限に水が湧く壺」と断定しました。
しかし、その壺には魔法の根拠も、実証もありませんでした。
問題は、
「嘘をつく意図があったか」ではありません。
相手が合理的な判断をできない状態に置かれた
という点です。
景品表示法では、
• 実際より著しく優良であると誤認させる表示
• 客観的根拠のない断定表現
を禁止しています。
現実の広告でも、
「絶対」「必ず」「永久に」
といった言葉は、根拠がなければアウトです。
村人が冷静さを失ったのは、
情報が不足していたからではなく、
誇張によって判断力を奪われたからなのです。"
第1章,2,契約書の落とし穴,契約書確認・説明義務の重要性,契約書に不利な条件が記載されていた場合でも、企業側が問題とされる可能性が高いのは どのようなケースか。,契約書に一応記載されていた,相手が確認しなかった,実質的に理解できない形で記載されていた,サインが自発的だった,C,"契約魔導師は、
• 極端に小さい文字
• かすれたインク
で重要条項を隠しました。
これは
「書いてあるから問題ない」
という形式論を利用した不正です。
消費者契約法では、
• 重要な不利益事実の不告知
• 実質的に理解できない説明
は、契約取消の対象になります。
現実の契約でも、
• 注釈に埋もれた違約金
• 専門用語だけの説明
は、
説明したことにならないと判断されます。
契約とは、
「読めるか」ではなく
**「理解できるか」**が問われる行為です。"
第1章,3,砂漠の契約魔導師,悪しき商習慣と公序良俗,「業界では昔から当たり前」という説明が、コンプライアンス上通用しない理由はどれ か。,新しい法律が常に優先されるから,慣習は法令違反を正当化しないから,売上が下がるから,社会的評価が下がるから,B,"魔導師は
「騙される方が悪い」
「無知は罪だ」
と開き直りました。
しかし、現実の法務では
慣習は免罪符になりません。
公序良俗に反する契約や取引は、
民法上も無効となります。
• 昔からやっている
• 業界では普通
という言葉が出た瞬間、
そこには高確率でリスクが潜んでいます。
砂漠のルールを壊したのは、
新しい正義ではなく、
法と倫理の優先順位だったのです。"
第1章,4,見えざる下請けの悲鳴,下請法・サプライチェーン責任,下請法において「優越的地位の濫用」に該当する可能性が最も高い行為はどれか。,業務内容を事前に明示する,適正な対価を支払う,無償での作業を事実上強要する,納期を協議の上で設定する,C,"壺の水源は、
妖精たちの過酷な強制労働でした。
これは典型的な
• 買いたたき
• 無償労働
• 一方的条件変更
です。
下請法は、
「契約があるかどうか」ではなく
立場の強弱を利用していないか
を見ます。
現実でも、
「代わりはいくらでもいる」
という関係性は、
すでにコンプライアンスリスクです。
サプライチェーンの不正は、
最終的に発注側の責任として返ってきます。"
第1章,5,若き旅人の過ち,知的財産権の尊重,模倣品・無断使用が重大な問題となる理由として最も適切なものはどれか。,品質が低いから,価格が安いから,他者の信用と努力を侵害するから,市場競争が激しくなるから,C,"若き旅人は
「形を真似しただけ」
と考えていました。
しかし、
商標・著作権・デザインは、
信用そのものです。
無断使用は、
• 法的責任
• 損害賠償
だけでなく、
企業ブランドを根底から壊します。
知らなかったでは済まされない。
それが知的財産の世界です。"
第1章,6,密約の仲介人,談合・カルテルの禁止,独占禁止法が談合を厳しく禁止する理由はどれか。,手続きが複雑になるから,特定企業が儲かりすぎるから,公正な競争を排除するから,仲が悪くなるから,C,"仲介人は
「共存共栄」
という言葉で、競争排除を正当化しました。
しかし談合は、
• 市場を歪め
• 技術革新を止め
• 消費者に損害を与える
行為です。
仲良く分け合うことと、
不正に競争を止めることは全く違います。"
第1章,7,接待の甘い罠,贈収賄・過剰接待の禁止,高額な贈答や接待がコンプライアンス上問題となる本質的理由はどれか。,金額が高いから,印象が悪いから,職務判断の公正性を損なうから,記録が残るから,C,"仲介人の贈り物は、
「挨拶」ではなく
判断を縛る鎖でした。
一度受け取れば、
完全な自由判断は失われます。
贈収賄の本質は、
公私混同です。"
第1章,8,幻影族の首領,消費者保護と景品表示法（不当表示）,幻影族の首領が行っていた「実際には得られない効果を、確実に得られるかのように示す 広告」は、景品表示法上、どの不当表示に該当する可能性が最も高いか。,有利誤認表示,優良誤認表示,二重価格表示,不当廉売,B,"幻影族の首領は、
「この商品を手にすれば、誰もが理想の未来を得られる」
と、人々に確実な効果があるかのような幻影を見せていました。
しかし、
その効果には
• 客観的な根拠
• 再現性
• 実証データ
が存在していません。
景品表示法では、
実際の品質・性能・効果よりも、著しく優れていると誤認させる表示
を「優良誤認表示」として禁止しています。
ここで重要なのは、
• 騙す意図があったか
• 夢として表現したか
ではありません。
事実と異なる、または裏付けのない内容によって、消費者の合理的判断を妨げたかどうか
が判断基準になります。
「夢を見せただけ」という主張は、
法的には一切の免責になりません。
幻影が破られた瞬間に問題となったのは、
信頼の喪失ではなく、
事実に基づかない表示そのものが法令違反だった
という点なのです。"
第1章,9,真実の光,事実・証拠・書面主義（稟議・契約・記録）,稟議書・契約書・議事録などの書面手続きを適切に残すことが、コンプライアンス上特に 重要とされる理由として最も適切なものはどれか。,社内ルールだから,監査対応を形式的に行うため,判断の根拠と責任の所在を客観的に示すため,書類が多い方が信頼されるから,C,"FACTの水晶は、
「正しさ」を主張する道具ではありません。
事実をそのまま映し出す存在です。
稟議書、契約書、議事録が果たす役割も同じです。
それらは、
• 何を前提に
• 誰が
• どの情報を基に
• どのような判断をしたのか
という判断の履歴を残します。
現実のコンプライアンスでは、
「結果的に問題がなかったか」ではなく、
当時、合理的な判断プロセスを踏んでいたか
が問われます。
その際、
口頭説明や記憶は証拠になりません。
書面として残って初めて、
判断の正当性が検証可能になります。
稟議を省略する、
契約を曖昧にする、
議事録を残さない――
これらはすべて、
事実を曖昧にし、不正や責任転嫁を生みやすくする行為です。
FACTの水晶が闇を払えたのは、
強かったからではありません。
事実を隠さず、形として残したからなのです。"
第1章,10,砂漠に咲く花,第1章総括（情報開示と判断可能性）,第1章で描かれた一連の不正を防ぐために、企業が最も重視すべき姿勢として適切なもの はどれか。,契約や表示は最低限の要件を満たせばよい,利益につながるなら多少の誇張は許される,相手が内容を理解し、判断できる状態を前提に情報を示す,注意書きを入れておけば責任は回避できる,C,"砂漠で起きた不正は、
すべて形は違っていましたが、
原因は一つでした。
誇張された表現
隠された条件
意図的、あるいは無自覚な説明不足
によって、
相手が正しく判断できない状態が作られていたのです。
重要なのは、
嘘をついたか
書面に書いてあったか
ではありません。
相手が、その情報を基に合理的な判断をできたか
という一点です。
小さすぎる文字で書かれた条件、
注釈に埋もれた不利な前提、
根拠のない断定表現は、
形式上は表示されていても、
判断材料として機能していません。
それらはすべて、
「説明したつもり」になっているだけです。
砂漠に咲いた花は、
企業が突然「誠実な心」を持ったからではありません。
情報の出し方を改め、
相手の判断力を尊重する姿勢に戻った結果
として咲いたのです。
第1章が示した学びは、
「うまくやること」ではなく、
判断できる情報を、判断できる形で渡すこと
それ自体が、最大のリスク対策だという事実です。"
